Destinatio,Origin,Population,id,iso_n3
Netherlands,China,"1114","2083","156"
Canada,China Hong Kong SAR,"6","534","344"
Venezuela,Colombia,"122741","3378","170"
Ecuador,Colombia,"47934","922","170"
Canada,Colombia,"7766","535","170"
USA,Colombia,"3782","3238","170"
Costa Rica,Colombia,"2349","739","170"
Panama,Colombia,"1678","2293","170"
Brazil,Colombia,"1291","402","170"
Chile,Colombia,"1218","689","170"
Peru,Colombia,"613","2325","170"
Argentina,Colombia,"544","45","170"
France,Comoros,"584","1083","174"
S. Africa,Congo Republic of,"5273","2623","178"
France,Congo Republic of,"3387","1084","178"
USA,Congo Republic of,"1381","3239","178"
DRC,Congo Republic of,"658","862","178"
Netherlands,Congo Republic of,"456","2085","178"
Italy,Congo Republic of,"431","1644","178"
Canada,Congo Republic of,"285","536","178"
Germany,Congo Republic of,"265","1231","178"
Ireland,Congo Republic of,"186","1565","178"
Austria,Congo Republic of,"126","189","178"
USA,Costa Rica,"170","3240","188"
Canada,Costa Rica,"15","537","188"
Argentina,Costa Rica,"5","46","188"
Serbia,Croatia,"19043","2565","191"
Bos. & Herz.,Croatia,"5120","378","191"
Germany,Croatia,"310","1233","191"
Canada,Croatia,"251","539","191"
France,Croatia,"61","1086","191"
USA,Croatia,"33","3242","191"
Switz.,Croatia,"31","2851","191"
Italy,Croatia,"18","1646","191"
Montenegro,Croatia,"11","2014","191"
Brazil,Croatia,"5","405","191"
Spain,Cuba,"891","2658","192"
Canada,Cuba,"803","540","192"
Peru,Cuba,"606","2326","192"
USA,Cuba,"459","3243","192"
Costa Rica,Cuba,"384","740","192"
Argentina,Cuba,"254","48","192"
Czechia,Cuba,"228","829","192"
Ecuador,Cuba,"212","923","192"
Italy,Cuba,"206","1647","192"
Brazil,Cuba,"190","406","192"
Germany,Czechia,"766","1235","203"
Canada,Czechia,"438","541","203"
France,Czechia,"25","1088","203"
NZ,Czechia,"17","2152","203"
USA,Czechia,"17","3244","203"
Switz.,Czechia,"7","2853","203"
Belgium,Czechia,"6","294","203"
Canada,Dem. People's Rep. of Korea,"481","542","408"
