ADM0_A3,NAME,HDI,Years_school,Pop_mil,Surface_sqkm,Pop_below_550_day,environ,id,iso_n3,refugees,flow_out
CZE,Czechia,0.888,12.7,10.6,78.9,0.4,0.2,203,203,3644,1276
ECU,Ecuador,0.752,8.7,16.6,256.4,23.2,0.3,218,218,93822,1318
NAM,Namibia,0.647,6.8,2.5,824.3,50.1,3.4,516,516,2182,1346
SAU,Saudi Arabia,0.853,9.5,32.9,2149.7,0,0,682,682,158,1354
NIC,Nicaragua,0.658,6.7,6.2,130.4,34.8,0.8,558,558,328,1491
TJK,Tajikistan,0.65,10.4,8.9,141.4,54.2,5.4,762,762,2647,1577
NER,Niger,0.354,2,21.5,1267,93.4,7.5,562,562,177286,1590
MKD,Macedonia,0.757,9.6,2.1,25.7,23.1,0.3,807,807,421,1734
TUN,Tunisia,0.735,7.2,11.5,163.6,18.3,0.1,788,788,877,1888
GNB,Guinea-Bissau,0.455,3,1.9,36.1,93.4,0.5,624,624,11151,1965
DJI,Djibouti,0.476,4.1,1,23.2,70.6,6.8,262,262,17302,2011
MNG,Mongolia,0.741,10.1,3.1,1564.1,32,2.6,496,496,7,2219
JOR,Jordan,0.735,10.4,9.7,89.3,18.1,0.4,400,400,705762,2276
JAM,Jamaica,0.732,9.8,2.9,11,29.7,1.1,388,388,15,2347
MDA,Moldova,0.7,11.6,3.5,33.9,16.3,0.3,498,498,404,2374
KAZ,Kazakhstan,0.8,11.8,18,2724.9,8.6,0.2,398,398,589,2493
PER,Peru,0.75,9.2,32.2,1285.2,23.9,2,604,604,1978,2559
KGZ,Kyrgyzstan,0.672,10.9,6.2,200,66.4,2.1,417,417,339,2832
UZB,Uzbekistan,0.71,11.5,32.4,447.4,96.4,0.1,860,860,14,3340
MAR,Morocco,0.667,5.5,35.7,446.6,31.3,0.1,504,504,5069,3565
BLR,Belarus,0.808,12.3,9.5,207.6,0.8,0,112,112,2677,3625
HUN,Hungary,0.838,11.9,9.8,93,2.7,0.1,348,348,5983,3742
DZA,Algeria,0.754,8,41.3,2381.7,29.2,0,012,012,177881,4184
SLE,Sierra Leone,0.419,3.5,7.6,72.3,94.7,0.2,694,694,686,4668
CUB,Cuba,0.777,11.8,11.5,109.9,0,0.7,192,192,282,5396
LBN,Lebanon,0.757,8.7,6.1,10.5,1.9,0,422,422,974629,5556
LBR,Liberia,0.435,4.7,4.7,111.4,92.2,1.9,430,430,9529,5576
UGA,Uganda,0.516,6.1,42.9,241.6,87.8,0.9,800,800,1131545,6579
GEO,Georgia,0.78,12.8,3.7,69.7,43.6,0.8,268,268,2019,6692
LAO,Laos,0.601,5.2,6.9,236.8,85,2.7,418,418,0,6974
BTN,Bhutan,0.612,3.1,0.8,38.4,38.6,0,064,064,0,7290
KEN,Kenya,0.59,6.5,49.7,580.4,86.5,6.5,404,404,410732,7475
TGO,Togo,0.503,4.8,7.8,56.8,90.1,0.5,768,768,12426,8121
AGO,Angola,0.581,5.1,29.8,1246.7,79.4,1,024,024,37933,8330
NPL,Nepal,0.574,4.9,29.3,147.2,83,0.7,524,524,20949,8466
IND,India,0.64,6.4,1339.2,3287.3,86.8,4.4,356,356,196966,8563
BFA,Burkina Faso,0.423,1.5,19.2,274.2,92.3,1.3,854,854,24798,10275
ARM,Armenia,0.755,11.7,2.9,29.7,50,0.5,051,051,17996,10909
AZE,Azerbaijan,0.757,10.7,9.9,86.6,8.2,1.1,031,031,1114,11142
TCD,Chad,0.404,2.3,14.9,1284,86.2,2.7,148,148,445777,11678
KHM,Cambodia,0.582,4.8,16,181,0,6.6,116,116,67,12123
MEX,Mexico,0.774,8.6,129.2,1964.4,34.8,0.1,484,484,9143,12293
IDN,Indonesia,0.694,8,264,1913.6,58.7,0.2,360,360,11031,12327
VEN,Venezuela,0.761,10.3,32,912.1,35.6,0.2,862,862,122874,12619
LBY,Libya,0.706,7.3,6.4,1759.5,0,0,434,434,9365,12687
ALB,Albania,0.785,10,2.9,28.8,39.1,5.3,008,008,121,12906
COG,Congo,0.457,6.8,81.3,2344.9,97.7,0,178,178,40740,13449
HND,Honduras,0.617,6.5,9.3,112.5,52.6,1.3,340,340,27,16006
GMB,Gambia,0.46,3.5,2.1,11.3,72.5,0.2,270,270,8487,16376
ZWE,Zimbabwe,0.535,8.1,16.5,390.8,74,0,716,716,7707,16438
BIH,Bosnia and Herz.,0.768,9.7,3.5,51.2,3.9,0.5,070,070,5229,17591
GHA,Ghana,0.592,7.1,28.8,238.5,56.9,1,288,288,11940,17695
GTM,Guatemala,0.65,6.5,16.9,108.9,48.8,1.3,320,320,390,17886
BGD,Bangladesh,0.608,5.8,164.7,147.6,84.5,4.6,050,050,943240,19256
GIN,Guinea,0.459,2.6,12.7,245.9,92.3,0.2,324,324,4906,23059
EGY,Egypt,0.696,7.2,97.6,1001.5,61.9,0,818,818,239741,23442
HRV,Croatia,0.831,11.3,4.1,56.6,5.5,0,191,191,608,24888
YEM,Yemen,0.452,3,28.3,528,81.6,0.1,887,887,271554,26737
HTI,Haiti,0.498,5.3,11,27.8,78.9,0.8,332,332,6,28038
SEN,Senegal,0.505,3,15.9,196.7,88.1,0.6,686,686,14686,28127
SLV,El Salvador,0.674,6.9,6.4,21,29,0.4,222,222,48,28672
SRB,Serbia,0.787,11.1,7,88.4,7.4,0,688,688,30935,32955
CMR,Cameroon,0.556,6.3,24.1,475.4,68.9,0.1,120,120,360162,35095
MRT,Mauritania,0.52,4.5,4.4,1030.7,58.8,3.1,478,478,84078,36640
CIV,C����_te d'Ivoire,0.492,5.2,24.3,322.5,82.3,0,384,384,1714,38970
RUS,Russia,0.816,12,144.5,17098.3,2.7,0.1,643,643,104644,61904
TUR,Turkey,0.791,8,80.7,785.4,9.9,0.1,792,792,3621264,65713
ETH,Ethiopia,0.463,2.7,105,1104.3,85,3.3,231,231,920961,89558
PSX,Palestine,0,0,0,0,0,0,275,275,0,101066
LKA,Sri Lanka,0.77,10.9,21.4,65.6,40.4,2.2,144,144,802,114568
UKR,Ukraine,0.751,11.3,44.8,603.6,6.4,0.3,804,804,3225,119805
IRN,Iran,0.798,9.8,81.2,1745.2,11.6,3.1,364,364,979435,124738
PAK,Pakistan,0.562,5.2,197,796.1,75.4,1.1,586,586,1397629,134591
MLI,Mali,0.427,2.3,18.5,1240.2,94.9,0.7,466,466,24366,160172
COL,Colombia,0.747,8.3,49.1,1141.7,27.6,0.7,170,170,282,192375
SAH,W. Sahara,0,0,0,0,0,0,732,732,0,200329
CHN,China,0.752,7.8,1386.4,9562.9,27.2,8,156,156,321746,209792
RWA,Rwanda,0.524,4.1,12.2,26.3,91.6,1.3,646,646,148055,248656
NGA,Nigeria,0.532,6.2,190.9,923.8,92.1,0.1,566,566,25426,266946
VNM,Vietnam,0.694,8.2,95.5,331.2,29,1.6,704,704,0,334290
IRQ,Iraq,0.685,6.8,38.3,435.1,57.3,0,368,368,281905,372272
BDI,Burundi,0.417,3,10.9,27.8,96.8,2.4,108,108,67963,403100
ERI,Eritrea,0.44,4,0,117.6,0,7.3,232,232,2215,495732
CAF,Central African Rep.,0.367,4.3,4.7,623,92.8,0.2,140,140,9079,580568
COD,Dem. Rep. Congo,0.606,6.3,5.3,342,82.4,0.3,180,180,535730,686082
SDN,Sudan,0.502,3.7,40.5,0,73.2,2.8,729,729,908692,719167
SOM,Somalia,0,0,14.7,637.7,0,4.6,706,706,15426,954655
MMR,Myanmar,0.578,4.9,53.4,676.6,67.2,0.1,104,104,0,1173763
SDS,S. Sudan,0.388,4.8,12.6,0,84.8,0,728,728,297150,2214564
AFG,Afghanistan,0.498,3.8,35.5,652.9,0,1.1,004,4,78384,2655014
SYR,Syria,0.536,5.1,18.3,185.2,50.4,0.5,760,760,18490,6490906
