type,lat,long
b,32.9069,69.7616
b,18.2164,42.5053
b,5.5376,46.3867
b,5.5376,46.3867
b,9.2200,29.1700
b,31.1316,33.7984
b,8.2850,27.9762
b,11.8464,13.1603
b,0.4966,29.4654
b,32.9069,69.7616
b,12.8870,44.9844
b,32.9069,69.7616
b,17.4933,44.1277
b,12.8274,45.0310
b,13.9667,45.4833
b,12.8785,45.0067
b,12.8123,45.0334
b,13.5795,44.0209
b,13.6957,44.7314
b,14.5167,46.5000
b,12.7794,45.0367
b,26.0179,63.0667
b,10.8583,12.2005
b,13.9458,45.4333
b,13.9667,45.4833
b,13.9852,45.5727
b,10.4685,12.9857
b,11.8527,13.1620
b,32.0761,20.1207
b,10.4551,13.2223
b,13.5157,24.8653
b,2.3333,42.2833
b,26.4567,65.2314
b,13.8912,44.7731
b,0.8519,29.6124
b,2.0581,45.3003
b,12.9888,43.4733
b,31.1316,33.7984
b,13.6860,44.1391
b,-0.1302,42.5743
b,-3.3953,29.1378
b,16.4316,42.9390
b,1.8000,44.7000
b,15.4610,45.3253
b,4.5109,44.8165
b,11.5221,13.6856
b,30.0726,71.1938
b,13.0025,44.9117
b,8.0385,39.0158
b,33.0001,70.0698
b,15.5591,44.9703
b,27.1142,65.5629
b,13.3333,24.5022
b,6.6976,29.8147
b,5.5376,46.3867
b,5.5376,46.3867
b,8.2850,27.9762
b,29.3289,66.9716
b,32.9069,69.7616
b,12.8365,45.0473
b,12.7841,44.9989
b,13.1287,45.3807
b,14.5377,46.8319
b,33.6598,71.4517
b,9.5410,31.6520
b,9.2525,29.7883
b,29.1443,69.0992
b,31.2878,34.2369
b,23.9631,98.6120
b,9.5950,28.4350
b,14.1738,44.1578
b,32.7500,22.3833
b,10.9048,12.0886
b,-21.1617,46.5952
b,13.5795,44.0209
b,3.9031,43.5875
b,8.2206,43.5572
b,17.0229,45.7956
b,-1.4280,28.0730
b,16.2717,-0.0447
b,10.4495,32.2085
b,11.5019,34.1501
b,12.8870,44.9844
b,9.4744,31.0451
b,12.8274,45.0310
b,2.0333,45.3500
b,13.1285,24.2814
b,12.3731,14.2277
b,14.5180,44.7755
b,11.7470,11.9608
b,0.7119,29.6183
b,10.8583,12.2005
b,8.2206,43.5572
b,24.7782,96.3686
b,14.0903,44.6701
b,2.6195,44.8936
b,2.4074,42.9766
b,13.6348,44.3371
b,11.2426,14.1372
b,10.9901,49.0568
b,1.8866,43.1873
b,2.7421,43.1578
b,13.8874,45.7740
b,15.6872,44.9031
b,12.8787,44.9795
b,27.0377,14.4283
b,13.1287,45.3807
b,7.0317,29.2472
b,29.9053,69.0885
b,2.5071,45.1712
b,13.9408,44.1773
b,13.9667,45.4833
b,13.9667,45.4833
b,4.1176,43.2575
b,10.8446,29.7682
b,14.5167,46.5000
b,0.3000,41.3000
b,13.9667,45.4833
b,33.7926,70.7767
b,14.6892,45.6096
b,33.4236,70.3690
b,5.3083,45.8774
b,3.3280,42.2199
b,4.1207,43.8879
b,14.0903,44.6701
b,14.1057,45.4481
b,-0.1302,42.5743
b,2.0205,45.2897
b,32.9069,69.7616
b,0.4966,29.4654
b,12.8274,45.0310
b,11.5868,26.5357
b,12.8123,45.0334
b,33.6563,70.9883
b,3.8519,45.5651
b,10.9175,13.9899
b,11.1048,48.9707
b,27.9203,65.8768
b,16.1641,44.7769
b,13.9667,45.4833
b,8.1333,42.3000
b,31.2160,34.1110
b,8.1561,30.8039
b,10.6470,12.9110
b,-0.9833,29.0167
b,14.3566,45.0224
b,13.6957,44.7314
b,15.8500,44.7750
b,32.9069,69.7616
b,26.5921,12.7805
b,33.6827,70.9589
b,12.7519,44.8797
b,23.6916,98.7641
b,13.5795,44.0209
b,12.6786,13.6079
b,12.9431,43.4103
b,31.1316,33.7984
b,31.2878,34.2369
b,32.7980,22.5631
b,12.8123,45.0334
b,13.5795,44.0209
b,13.0567,44.8819
b,13.6264,25.3559
b,32.1177,20.1293
b,8.2561,44.1567
b,8.5980,28.4738
b,31.2160,34.1110
b,32.6135,69.5073
b,12.8274,45.0310
b,11.3300,34.0600
b,12.0556,24.8906
b,1.2448,42.5732
b,13.9667,45.4833
b,11.5019,34.1501
b,11.5019,34.1501
b,8.3499,29.0832
b,12.6878,43.4725
b,8.0014,47.5672
b,15.4610,45.3253
b,4.3433,31.0728
b,13.5777,44.0397
b,3.2200,42.6300
b,11.6173,32.7305
b,14.5115,44.0151
b,8.1550,31.1476
b,8.1550,31.1476
b,8.1550,31.1476
b,8.1550,31.1476
b,8.1550,31.1476
b,13.5795,44.0209
b,13.5000,14.6833
b,31.2160,34.1110
b,-2.8807,29.3361
b,32.1177,20.1293
b,4.9238,29.4626
b,13.7556,44.1324
b,12.8365,45.0473
b,-0.4209,40.2201
b,29.0266,66.5936
b,13.9852,45.5727
b,23.2736,98.1052
b,12.8123,45.0334
b,26.4856,96.6992
b,12.8123,45.0334
b,34.4218,71.1919
b,11.5868,26.5357
b,13.1287,45.3807
b,11.5221,13.6856
b,14.1333,25.5500
b,23.6916,98.7641
b,23.6916,98.7641
b,23.6916,98.7641
b,23.6916,98.7641
b,13.0947,13.8234
b,-7.3000,27.4167
b,4.2090,43.2172
b,4.0806,45.8621
b,1.2132,30.0857
b,10.7994,13.4622
b,6.7697,47.4308
b,12.6000,37.4667
b,12.6000,37.4667
b,6.1478,46.3964
b,13.6957,44.7314
b,10.7563,13.2129
b,12.7794,45.0367
b,15.4137,45.2788
b,11.2500,13.4167
b,12.8274,45.0310
b,12.8123,45.0334
b,13.6957,44.7314
b,12.6000,37.4667
b,13.2106,44.7850
b,1.6584,44.5800
b,12.8870,44.9844
b,-12.8525,15.5605
b,13.6957,44.7314
b,14.4320,46.1544
b,13.6264,25.3559
b,14.8007,45.7189
b,12.7794,45.0367
b,13.0567,44.8819
b,12.7841,44.9989
b,13.9210,13.2950
b,30.4669,33.7843
b,2.3385,42.2843
b,31.0594,16.6589
b,14.8007,45.7189
b,13.8828,45.8686
b,12.7899,45.0024
b,12.7899,45.0024
b,23.6916,98.7641
b,7.7790,33.0023
b,9.0395,29.4857
b,13.5222,44.0520
b,32.6135,69.5073
b,13.0567,44.8819
b,10.9901,49.0568
b,32.5680,69.8291
b,13.6957,44.7314
b,32.3113,12.5685
b,11.1048,48.9707
b,23.6916,98.7641
b,14.1057,45.4481
b,13.1285,24.2814
b,11.6558,13.4213
b,15.6160,45.1987
b,14.8007,45.7189
b,11.6558,13.4213
b,8.2200,30.2200
b,8.1900,30.3200
b,8.9166,32.4296
b,12.0833,31.5008
b,2.0337,45.3400
b,-0.3603,42.5463
b,14.2681,13.6630
b,13.4777,43.9847
b,7.9089,29.0933
b,7.9089,29.0933
b,7.9089,29.0933
b,2.9911,43.4961
b,4.7360,45.2043
b,13.4333,14.3833
b,13.4833,14.5833
b,14.4000,37.9333
b,31.9498,19.9459
b,12.1000,13.7000
b,13.8954,45.8865
b,12.7775,45.0328
b,14.1333,25.5500
b,11.4544,31.2360
b,10.8575,30.9839
b,23.6916,98.7641
b,12.1000,13.7000
b,9.2525,29.7883
b,4.4182,32.5767
b,13.6264,25.3559
b,9.5922,28.4514
b,10.8864,13.6300
b,15.6160,45.1987
b,-21.8265,46.1122
b,33.7926,70.7767
b,13.6957,44.7314
b,12.7776,6.7834
b,12.5592,6.8946
b,-25.0320,46.9897
b,13.6957,44.7314
b,12.0843,5.2976
b,15.6445,44.4734
b,13.3195,43.2448
b,12.9431,43.4103
b,4.4016,45.3894
b,13.8828,45.8686
b,31.2160,34.1110
b,13.9443,45.6707
b,31.1316,33.7984
b,0.4919,35.7430
b,8.0948,28.6524
b,27.0377,14.4283
b,13.5333,14.6500
b,13.5795,44.0209
b,31.2089,16.5887
b,11.1560,12.7576
b,13.0381,43.9439
b,23.6916,98.7641
b,12.8870,44.9844
b,23.6916,98.7641
b,32.0984,20.1767
b,32.1177,20.1293
b,2.6632,44.6979
b,13.6957,44.7314
b,13.3195,43.2448
b,7.8280,7.8141
b,31.1316,33.7984
b,13.9443,45.6707
b,5.2833,36.7667
b,1.8000,44.7000
b,16.8406,43.1848
b,16.8406,43.1848
b,3.8000,42.5446
b,2.7144,44.5090
b,13.6169,13.2644
b,10.2897,11.1673
b,15.0320,45.8283
b,12.6786,13.6079
b,11.2500,13.4167
b,30.6500,18.3667
b,5.3500,30.3167
b,8.8077,30.1250
b,9.9167,30.0167
b,9.9167,30.0167
b,31.2160,34.1110
b,13.2589,12.6276
b,13.1285,24.2814
b,31.1316,33.7984
b,11.6558,13.4213
b,13.3200,12.6100
b,30.8042,18.0772
b,10.6129,12.1946
b,11.1560,12.7576
b,33.7926,70.7767
b,33.7926,70.7767
b,23.6916,98.7641
b,11.4043,14.5661
b,11.1767,13.8256
b,11.1667,33.7500
b,11.4500,33.9833
b,12.0240,13.9165
b,13.0947,13.8234
b,11.4833,12.3144
b,10.8614,30.0328
b,10.8864,13.6300
b,6.8190,29.7000
b,11.0432,25.6139
b,12.3730,14.2069
b,11.8464,13.1603
b,16.8892,42.5511
b,16.1827,44.6261
b,36.3723,43.1964
b,15.6445,44.4734
b,15.6463,44.5639
b,36.3550,43.1550
b,34.0148,44.1457
b,15.5242,45.0747
b,36.3723,43.1964
b,-0.4906,42.1969
b,9.9600,33.7300
b,15.6607,44.5526
b,25.3502,97.4384
b,13.5694,44.0249
b,15.4306,45.0142
b,13.5889,43.9758
b,35.6763,43.2902
b,23.8334,97.6798
b,16.1827,44.6261
b,5.5143,30.7198
b,36.3072,43.1999
b,36.3809,42.4674
b,34.6536,43.3048
b,4.4182,32.5767
b,36.3809,42.4674
b,-0.3603,42.5463
b,16.4368,45.1727
b,36.3960,43.1506
b,17.5378,43.4482
b,36.3723,43.1964
b,36.3350,43.1189
b,36.3809,42.4674
b,36.3960,43.1506
b,36.3809,42.4674
b,3.2072,45.7593
b,36.3426,42.2026
b,32.9176,44.2293
b,33.1718,43.8603
b,36.3809,42.4674
b,-5.8958,22.4178
b,-1.8667,28.4500
b,36.3072,43.1999
b,34.1300,42.3896
b,34.8308,44.0518
b,36.3282,43.1011
b,13.8994,44.4677
b,36.3960,43.1506
b,36.3723,43.1964
b,36.3072,43.1999
b,34.1915,42.0313
b,3.9333,30.3500
b,3.9467,30.4648
b,4.0600,30.6100
b,3.9000,30.7500
b,3.7900,30.7800
b,36.3723,43.1964
b,3.9000,30.7500
b,3.7900,30.7800
b,4.0600,30.6100
b,14.1488,45.4723
b,33.4206,43.3078
b,33.6366,42.8277
b,-5.9386,22.7286
b,36.3723,43.1964
b,35.6664,43.3384
b,35.8681,43.3152
b,35.4973,43.2365
b,7.7244,124.3008
b,17.5667,43.4000
b,35.7053,43.1884
b,35.5597,41.4019
b,36.3723,43.1964
b,35.5729,42.7339
b,36.3809,42.4674
b,0.3552,29.8776
b,0.3584,30.0348
b,0.0767,29.8681
b,4.8773,47.6159
b,34.6248,44.4107
b,2.0537,45.0548
b,36.2870,43.2425
b,36.3809,42.4674
b,36.3444,43.2164
b,15.3837,44.7546
b,36.2663,42.7074
b,36.1038,42.6356
b,13.5889,43.9758
b,1.6584,44.5800
b,36.2715,43.3737
b,36.1643,43.2592
b,36.2585,43.2810
b,36.2508,43.2949
b,36.1914,43.2634
b,2.0054,44.9872
b,2.0476,44.8975
b,13.5889,43.9758
b,36.2715,43.3737
b,36.4317,43.1946
b,36.1437,43.3145
b,36.2931,43.2039
b,36.3350,43.1189
b,35.4973,43.2365
b,36.2169,43.1007
b,36.3723,43.1964
b,36.3513,43.0928
b,35.4973,43.2365
b,36.2128,43.3785
b,36.1004,43.3112
b,36.3837,43.1910
b,36.1391,43.4133
b,-0.0295,42.5985
b,2.6133,44.8888
b,35.9888,43.2686
b,11.3333,30.5500
b,13.2089,43.8228
b,36.2909,42.4036
b,36.1038,42.6356
b,36.1484,42.6335
b,35.2881,43.1112
b,35.6031,44.0332
b,36.1004,43.3112
b,12.9333,36.7000
b,5.5376,46.3867
b,17.6723,43.5236
b,1.1624,43.9925
b,36.3723,43.1964
b,36.3350,43.1189
b,36.3350,43.1189
b,13.3289,44.2171
b,13.2422,44.2113
b,36.3723,43.1964
b,3.2072,45.7593
b,36.3350,43.1190
b,1.8702,44.8020
b,34.5741,43.7221
b,36.1643,43.2592
b,16.1077,44.6801
b,15.4264,45.0795
b,13.5795,44.0209
b,36.0719,43.3131
b,35.5729,42.7339
b,16.9402,43.7639
b,15.7222,44.5797
b,36.3072,43.1999
b,36.1117,43.2763
b,36.1289,43.2581
b,15.5029,44.8984
b,35.4973,43.2365
b,37.6073,42.7478
b,36.0631,42.7955
b,36.3350,43.1189
b,36.3350,43.1189
b,36.0482,42.7969
b,36.3513,43.0928
b,16.7685,43.2758
b,36.3350,43.1189
b,36.1131,42.8057
b,36.3350,43.1189
b,36.3350,43.1189
b,36.2723,43.1606
b,13.1591,33.9363
b,36.3574,43.2480
b,36.3072,43.1999
b,36.2126,42.8725
b,36.3574,43.2480
b,31.1316,33.7984
b,13.1731,43.9060
b,1.6298,44.5196
b,5.7648,20.6542
b,13.5914,43.9461
b,2.0054,44.9872
b,13.3647,44.4905
b,13.5795,44.0209
b,4.7360,45.2043
b,4.4182,32.5767
b,36.2955,41.8932
b,6.7697,47.4308
b,31.2089,16.5887
b,15.5227,44.8722
b,15.4996,44.6931
b,35.7993,43.2945
b,2.0476,44.8975
b,2.1500,45.1160
b,2.1500,45.1160
b,7.2333,9.7000
b,4.2423,33.4505
b,16.3406,44.5845
b,15.4306,45.0142
b,36.0426,41.7163
b,8.2936,30.1326
b,15.5600,44.9543
b,8.2936,30.1326
b,12.9384,43.6507
b,8.2936,30.1326
b,13.2106,44.7850
b,8.0862,46.7501
b,16.5651,43.1110
b,15.6597,44.5214
b,1.7878,44.5300
b,15.4306,45.0142
b,34.1300,42.3896
b,33.2947,43.7831
b,13.6957,44.7314
b,13.1345,43.7864
b,17.5760,43.3246
b,2.9704,45.5347
