name,total,m_total,f_total,f_0-4,f_5-11,f_18-59,f_12-17,f_5-17,f_60+,f_unknown,m_0-4,m_12-17,m_18-59,m_5-11,m_5-17,m_60+,m_unknown,admin_id
Uganda,1190922,569630,621292,111887,154300,235671,98219,,21215,,111535,104310,184164,158466,,11155,,800
Ukraine,6408,5344,1064,56,102,771,71,,64,,54,119,4961,116,,94,,804
United Arab Emirates,7782,3944,3838,474,817,1916,481,,150,,499,522,1902,867,,154,,784
Tanzania,337005,171255,165750,33051,34951,68868,24060,,4817,,33416,24549,72968,35864,,4456,,834
Uruguay,6815,4647,2168,53,70,1950,64,,31,,57,67,4404,66,,53,,858
Uzbekistan,14,7,7,0,0,,0,,,,0,0,6,0,,0,,860
Venezuela,67431,35062,32369,4833,6469,11370,8073,,1624,,5238,8754,12319,7000,,1747,,862
Yemen,2551501,1281337,1270164,162275,239492,579181,239153,,50063,,139620,239224,589123,262978,,50392,,887
Zambia,76027,40004,36023,5297,8204,15830,5553,,1139,,5209,5753,19316,8008,,1718,,894
Zimbabwe,18869,9758,9111,989,1317,5781,915,,105,,997,1025,6287,1371,,78,,716
