Extracted:,United Nations High Commissioner for Refugees
Date extracted:,29/06/2019 22:57:31
Last updated:,29/06/2019 22:57:31

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, April 2019
Country of origin:,"AFG,BTN,COD,ERI,IRN,IRQ,MMR,SOM,SDN,SYR"
Country of asylum:,""
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2014,AFG,"Afghanistan",-,"-",BRA,"Brazil",1
2014,ERI,"Eritrea",-,"-",FIN,"Finland",2
2014,IRN,"Iran (Islamic Rep. of)",-,"-",NOR,"Norway",8
2014,All others,"All others",-,"-",AUS,"Australia",124
2014,SDN,"Sudan",-,"-",AUS,"Australia",1
2014,SOM,"Somalia",-,"-",DNK,"Denmark",12
2014,MMR,"Myanmar",-,"-",NZL,"New Zealand",162
2014,SYR,"Syrian Arab Rep.",-,"-",BRA,"Brazil",1
2015,AFG,"Afghanistan",-,"-",DNK,"Denmark",14
2015,SDN,"Sudan",-,"-",GBR,"United Kingdom of Great Britain and Northern Ireland",68
2015,SOM,"Somalia",-,"-",NZL,"New Zealand",34
2015,IRQ,"Iraq",-,"-",NLD,"Netherlands",3
2015,SOM,"Somalia",-,"-",FRA,"France",10
2015,ERI,"Eritrea",-,"-",CAN,"Canada",608
2015,ERI,"Eritrea",-,"-",NZL,"New Zealand",2
2015,SDN,"Sudan",-,"-",SWE,"Sweden",17
2015,COD,"Dem. Rep. of the Congo",-,"-",IRL,"Ireland",2
2015,SYR,"Syrian Arab Rep.",-,"-",CHE,"Switzerland",548
2015,AFG,"Afghanistan",-,"-",FRA,"France",16
2015,SOM,"Somalia",-,"-",SWE,"Sweden",332
2015,IRQ,"Iraq",-,"-",DEU,"Germany",55
2015,SYR,"Syrian Arab Rep.",-,"-",LIE,"Liechtenstein",17
2015,COD,"Dem. Rep. of the Congo",-,"-",NOR,"Norway",187
2015,ERI,"Eritrea",-,"-",FIN,"Finland",7
2015,SOM,"Somalia",-,"-",NLD,"Netherlands",1
2015,SDN,"Sudan",-,"-",AUS,"Australia",18
2015,SOM,"Somalia",-,"-",DNK,"Denmark",16
2015,MMR,"Myanmar",-,"-",NZL,"New Zealand",233
2015,SYR,"Syrian Arab Rep.",-,"-",BRA,"Brazil",2
2015,BTN,"Bhutan",-,"-",AUS,"Australia",312
2015,IRN,"Iran (Islamic Rep. of)",-,"-",SWE,"Sweden",5
2015,BTN,"Bhutan",-,"-",USA,"United States of America",5558
2015,SYR,"Syrian Arab Rep.",-,"-",ESP,"Spain",92
2015,SYR,"Syrian Arab Rep.",-,"-",USA,"United States of America",2187
2015,COD,"Dem. Rep. of the Congo",-,"-",USA,"United States of America",8645
2015,AFG,"Afghanistan",-,"-",CAN,"Canada",365
2015,COD,"Dem. Rep. of the Congo",-,"-",BEL,"Belgium",88
2015,BTN,"Bhutan",-,"-",NOR,"Norway",10
2015,IRN,"Iran (Islamic Rep. of)",-,"-",CHE,"Switzerland",3
2015,SYR,"Syrian Arab Rep.",-,"-",NZL,"New Zealand",67
2015,AFG,"Afghanistan",-,"-",NLD,"Netherlands",5
2015,MMR,"Myanmar",-,"-",CAN,"Canada",363
2015,SDN,"Sudan",-,"-",NZL,"New Zealand",3
2015,SYR,"Syrian Arab Rep.",-,"-",SWE,"Sweden",677
2015,SOM,"Somalia",-,"-",AUT,"Austria",21
