ADM0_A3,NAME,HDI,Years_school,Pop_mil,Surface_sqkm,Pop_below_550_day,environ,id
BLM,St-BarthÃ©lemy,"0","0",,,"0","0","652"
PYF,Fr. Polynesia,"0","0",,,"0","0","258"
NCL,New Caledonia,"0","0",,,"0","0","540"
ATF,Fr. S. Antarctic Lands,"0","0",,,"0","0","260"
ALD,Ã…land,"0","0",,,"0","0","248"
FIN,Finland,"0.92","12.4","5.5","338.5","0.2","0","246"
FJI,Fiji,"0.741","10.8","0.9","18.3","48.6","1.7","242"
ETH,Ethiopia,"0.463","2.7","105","1104.3","85","3.3","231"
EST,Estonia,"0.871","12.7","1.3","45.3","2","0","233"
ERI,Eritrea,"0.44","4","0","117.6","0","7.3","232"
GNQ,Eq. Guinea,"0.591","5.5","1.3","28.1","0","0","226"
SLV,El Salvador,"0.674","6.9","6.4","21","29","0.4","222"
EGY,Egypt,"0.696","7.2","97.6","1001.5","61.9","0","818"
ECU,Ecuador,"0.752","8.7","16.6","256.4","23.2","0.3","218"
DOM,Dominican Rep.,"0.736","7.8","10.8","48.7","19.9","0.1","214"
DMA,Dominica,"0.715","7.8","0.1","0.8","0","0","212"
DJI,Djibouti,"0.476","4.1","1","23.2","70.6","6.8","262"
GRL,Greenland,"0","0",,,"0","0","304"
FRO,Faeroe Is.,"0","0",,,"0","0","234"
DNK,Denmark,"0.929","12.6","5.8","42.9","0.5","0","208"
CZE,Czechia,"0.888","12.7","10.6","78.9","0.4","0.2","203"
CYN,N. Cyprus,"0","0",,,"0","0","-99"
CYP,Cyprus,"0.869","12.1","1.2","9.3","0.2","0","196"
CUB,Cuba,"0.777","11.8","11.5","109.9","0","0.7","192"
HRV,Croatia,"0.831","11.3","4.1","56.6","5.5","0","191"
CIV,CÃ´te d'Ivoire,"0.492","5.2","24.3","322.5","82.3","0","384"
CRI,Costa Rica,"0.794","8.8","4.9","51.1","9.7","0.7","188"
COD,Dem. Rep. Congo,"0.606","6.3","5.3","342","82.4","0.3","180"
COG,Congo,"0.457","6.8","81.3","2344.9","97.7","0","178"
COM,Comoros,"0.503","4.8","0.8","1.9","62.7","0","174"
COL,Colombia,"0.747","8.3","49.1","1141.7","27.6","0.7","170"
CHN,China,"0.752","7.8","1386.4","9562.9","27.2","8","156"
MAC,Macao,"0","0","0.6","0","0","0","446"
HKG,Hong Kong,"0.933","12","7.4","1.1","0","0","344"
CHL,Chile,"0.843","10.3","18.1","756.7","6.4","0.3","152"
TCD,Chad,"0.404","2.3","14.9","1284","86.2","2.7","148"
CAF,Central African Rep.,"0.367","4.3","4.7","623","92.8","0.2","140"
CPV,Cabo Verde,"0.654","6.1","0.5","4","53.1","0","132"
CAN,Canada,"0.926","13.3","36.7","9984.7","1","0","124"
CMR,Cameroon,"0.556","6.3","24.1","475.4","68.9","0.1","120"
KHM,Cambodia,"0.582","4.8","16","181","0","6.6","116"
MMR,Myanmar,"0.578","4.9","53.4","676.6","67.2","0.1","104"
BDI,Burundi,"0.417","3","10.9","27.8","96.8","2.4","108"
BFA,Burkina Faso,"0.423","1.5","19.2","274.2","92.3","1.3","854"
BGR,Bulgaria,"0.813","11.8","7.1","111","8.7","0","100"
BRN,Brunei,"0.853","9.1","0.4","5.8","0","0","096"
BRA,Brazil,"0.759","7.8","209.3","8515.8","21","0.5","076"
BWA,Botswana,"0.717","9.3","2.3","581.7","60.4","0.7","072"
BIH,Bosnia and Herz.,"0.768","9.7","3.5","51.2","3.9","0.5","070"
BOL,Bolivia,"0.693","8.9","11.1","1098.6","24.7","1.3","068"
BTN,Bhutan,"0.612","3.1","0.8","38.4","38.6","0","064"
BEN,Benin,"0.515","3.6","11.2","114.8","90.6","0.9","204"
BLZ,Belize,"0.708","10.5","0.4","23","53","0.8","084"
BEL,Belgium,"0.916","11.8","11.4","30.5","0.2","0","056"
BLR,Belarus,"0.808","12.3","9.5","207.6","0.8","0","112"
BRB,Barbados,"0.8","10.6","0.3","0.4","0","0","052"
BGD,Bangladesh,"0.608","5.8","164.7","147.6","84.5","4.6","050"
BHR,Bahrain,"0.846","9.4","1.5","0.8","0","0","048"
BHS,Bahamas,"0.807","11.1","0.4","13.9","0","0","044"
AZE,Azerbaijan,"0.757","10.7","9.9","86.6","8.2","1.1","031"
AUT,Austria,"0.908","12.1","8.8","83.9","0.9","0","040"
AUS,Australia,"0.939","12.9","24.6","7741.2","1.2","3","036"
IOA,Indian Ocean Ter.,"0","0",,,"0","0","-99"
HMD,Heard I. and McDonald Is.,"0","0",,,"0","0","334"
NFK,Norfolk Island,"0","0",,,"0","0","574"
ARM,Armenia,"0.755","11.7","2.9","29.7","50","0.5","051"
ARG,Argentina,"0.825","9.9","44.3","2780.4","7.1","0.2","032"
ATG,Antigua and Barb.,"0.78","9.2","0.1","0.4","0","0","028"
AGO,Angola,"0.581","5.1","29.8","1246.7","79.4","1","024"
AND,Andorra,"0.858","10.2","0.1","0.5","0","0","020"
DZA,Algeria,"0.754","8","41.3","2381.7","29.2","0","012"
ALB,Albania,"0.785","10","2.9","28.8","39.1","5.3","008"
AFG,Afghanistan,"0.498","3.8","35.5","652.9","0","1.1","004"
KAS,Siachen Glacier,"0","0",,,"0","0","-99"
ATA,Antarctica,"0","0",,,"0","0","010"
SXM,Sint Maarten,"0","0",,,"0","0","534"
